#	姓名	英文名	生卒	主导职业	研究领域	奖项	标签
	Lester Mackey	Lester Mackey	1983–?	统计学家		考普斯会长奖 2025	
	Louis Nirenberg	Louis Nirenberg		数学家		陈省身奖章 2010；阿贝尔奖 2015	
	Luis Caffarelli	Luis Caffarelli	1948–?	数学家		沃尔夫数学奖 2012；阿贝尔奖 2023	
	Manjul Bhargava	Manjul Bhargava	1974–?	数学家		菲尔兹奖 2014	
	Manuel Blum	Manuel Blum	1938–?	计算机科学家		图灵奖 1995	
	Marc A. Suchard	Marc A. Suchard	1972–?	统计学家		考普斯会长奖 2013	
	Mark J. van der Laan	Mark J. van der Laan	1967–?	统计学家		考普斯会长奖 2005	
	Mark Krein	Mark Krein	1907–1989	数学家		沃尔夫数学奖 1982	
	Martin E. Hellman	Martin E. Hellman	1945–?	计算机科学家		图灵奖 2015	
	Martin Hairer	Martin Hairer	1975–?	数学家		菲尔兹奖 2014	
	Martin J. Wainwright	Martin J. Wainwright	1973–?	统计学家		考普斯会长奖 2014	
	Marvin Minsky	Marvin Minsky	1927–2016	计算机科学家		图灵奖 1969	
	Maryam Mirzakhani	Maryam Mirzakhani	1977–2017	数学家		菲尔兹奖 2014	
	Maryna Viazovska	Maryna Viazovska	1984–?	数学家		菲尔兹奖 2022	
	Masaki Kashiwara	Masaki Kashiwara		数学家		陈省身奖章 2018；阿贝尔奖 2025	
	Maurice V. Wilkes	Maurice V. Wilkes	1913–2010	计算机科学家		图灵奖 1967	
	Maxim Kontsevich	Maxim Kontsevich	1964–?	数学家		菲尔兹奖 1998	
	Michael A. Newton	Michael A. Newton	1960–?	统计学家		考普斯会长奖 2004	
	Michael Artin	Michael Artin	1934–?	数学家		沃尔夫数学奖 2013	
	Michael Aschbacher	Michael Aschbacher	1944–?	数学家		沃尔夫数学奖 2012	
	Michael Freedman	Michael Freedman	1951–?	数学家		菲尔兹奖 1986	
	Michael O. Rabin	Michael O. Rabin	1931–?	计算机科学家		图灵奖 1976	
	Michael Stonebraker	Michael Stonebraker	1943–?	计算机科学家		图灵奖 2014	
	Michel Talagrand	Michel Talagrand		数学家		阿贝尔奖 2024	
	Nancy Reid	Nancy Reid	1952–?	统计学家		考普斯会长奖 1992	
	Ngo Bao Chau	Ngo Bao Chau	1972–?	数学家		菲尔兹奖 2010	
	Nicolai Meinshausen	Nicolai Meinshausen	1978–?	统计学家		考普斯会长奖 2016	
	Niklaus Wirth	Niklaus Wirth	1934–?	计算机科学家		图灵奖 1984	
	Nilanjan Chatterjee	Nilanjan Chatterjee	1971–?	统计学家		考普斯会长奖 2011	
	Noga Alon	Noga Alon	1956–?	数学家		沃尔夫数学奖 2024	
	Ole-Johan Dahl	Ole-Johan Dahl	1931–2002	计算机科学家		图灵奖 2001	
	Pascal Massart	Pascal Massart	1955–?	统计学家		考普斯会长奖 1998	
	Pat Hanrahan	Pat Hanrahan	1955–?	计算机科学家		图灵奖 2019	
	Paul Cohen	Paul Cohen	1934–2007	数学家		菲尔兹奖 1966	
	Paul Erdős	Paul Erdős	1913–1996	数学家		沃尔夫数学奖 1983	
	Peter Hall	Peter Hall	1951–2016	统计学家		考普斯会长奖 1989	
	Peter J. Bickel	Peter J. Bickel	1940–?	统计学家		考普斯会长奖 1981	
	Peter Lax	Peter Lax	1926–?	数学家		沃尔夫数学奖 1987；阿贝尔奖 2005	
	Peter McCullagh	Peter McCullagh	1952–?	统计学家		考普斯会长奖 1990	
	Peter Naur	Peter Naur	1928–2016	计算机科学家		图灵奖 2005	
	Peter Sarnak	Peter Sarnak	1953–?	数学家		沃尔夫数学奖 2014	
	Peter Scholze	Peter Scholze	1987–?	数学家		菲尔兹奖 2018	
	Phillip Griffiths	Phillip Griffiths	1938–?	数学家		沃尔夫数学奖 2008；陈省身奖章 2014	
	Pierre-Louis Lions	Pierre-Louis Lions	1956–?	数学家		菲尔兹奖 1994	
	Rafael Irizarry	Rafael Irizarry	1972–?	统计学家		考普斯会长奖 2009	
	Raj Reddy	Raj Reddy	1937–?	计算机科学家		图灵奖 1994	
	Raoul Bott	Raoul Bott	1923–2005	数学家		沃尔夫数学奖 2000	
	Raymond J. Carroll	Raymond J. Carroll	1949–?	统计学家		考普斯会长奖 1988	
	Richard Borcherds	Richard Borcherds	1959–?	数学家		菲尔兹奖 1998	
	Richard E. Stearns	Richard E. Stearns	1936–?	计算机科学家		图灵奖 1993	
	Richard Hamming	Richard Hamming	1915–1998	计算机科学家		图灵奖 1968	
	Richard J. Samworth	Richard J. Samworth	1978–?	统计学家		考普斯会长奖 2018	
	Richard M. Karp	Richard M. Karp	1935–?	计算机科学家		图灵奖 1985	
	Richard S. Sutton	Richard S. Sutton	1956–?	计算机科学家		图灵奖 2024	
	Richard Schoen	Richard Schoen	1950–?	数学家		沃尔夫数学奖 2017	
	Rina Foygel Barber	Rina Foygel Barber	1983–?	统计学家		考普斯会长奖 2020	
	Robert E. Kahn	Robert E. Kahn	1938–?	计算机科学家		图灵奖 2004	
	Robert J. Tibshirani	Robert J. Tibshirani	1956–?	统计学家		考普斯会长奖 1996	
	Robert Langlands	Robert Langlands	1936–?	数学家		沃尔夫数学奖 1995；阿贝尔奖 2018	
	Robert Metcalfe	Robert Metcalfe	1946–?	计算机科学家		图灵奖 2022	
	Robert Tarjan	Robert Tarjan	1948–?	计算机科学家		图灵奖 1986	
	Robert W. Floyd	Robert W. Floyd	1936–2001	计算机科学家		图灵奖 1978	
	Robin Milner	Robin Milner	1934–2010	计算机科学家		图灵奖 1991	
	Ronald Rivest	Ronald Rivest	1947–?	计算机科学家		图灵奖 2002	
	Ross L. Prentice	Ross L. Prentice	1941–?	统计学家		考普斯会长奖 1986	
	Ryan Tibshirani	Ryan Tibshirani	1984–?	统计学家		考普斯会长奖 2023	
	S. R. Srinivasa Varadhan	S. R. Srinivasa Varadhan		数学家		阿贝尔奖 2007	
	Saharon Shelah	Saharon Shelah	1945–?	数学家		沃尔夫数学奖 2001	
	寇星昌	Samuel Kou	1974–?	统计学家		考普斯会长奖 2012	
	Sergei Novikov	Sergei Novikov	1938–2024	数学家		菲尔兹奖 1970；沃尔夫数学奖 2005	
	Shafi Goldwasser	Shafi Goldwasser	1958–?	计算机科学家		图灵奖 2012	
	Shigefumi Mori	Shigefumi Mori	1951–?	数学家		菲尔兹奖 1990	
	Shing-Tung Yau	Shing-Tung Yau	1949–?	数学家		菲尔兹奖 1982；沃尔夫数学奖 2010	
	Silvio Micali	Silvio Micali	1954–?	计算机科学家		图灵奖 2012	
	Simon Donaldson	Simon Donaldson	1957–?	数学家		菲尔兹奖 1986；沃尔夫数学奖 2020	
	Stanislav Smirnov	Stanislav Smirnov	1970–?	数学家		菲尔兹奖 2010	
	Stephen A. Cook	Stephen A. Cook	1939–?	计算机科学家		图灵奖 1982	
	Stephen Fienberg	Stephen Fienberg	1942–2016	统计学家		考普斯会长奖 1982	
	蔡天文	T. Tony Cai	1967–?	统计学家		考普斯会长奖 2008	
	Terence Tao	Terence Tao	1975–?	数学家		菲尔兹奖 2006	
	Tim Berners-Lee	Tim Berners-Lee	1955–?	计算机科学家		图灵奖 2016	
	Timothy Gowers	Timothy Gowers	1963–?	数学家		菲尔兹奖 1998	
	Tony Hoare	Tony Hoare	1934–?	计算机科学家		图灵奖 1980	
	Tyler J. VanderWeele	Tyler J. VanderWeele	1977–?	统计学家		考普斯会长奖 2017	
	黎子良	Tze Leung Lai	1945–2023	统计学家		考普斯会长奖 1983	
	Vaughan Jones	Vaughan Jones	1952–2020	数学家		菲尔兹奖 1990	
	Veronika Ročková	Veronika Ročková		统计学家		考普斯会长奖 2024	
	Vint Cerf	Vint Cerf	1943–?	计算机科学家		图灵奖 2004	
	Vladimir Drinfeld	Vladimir Drinfeld	1954–?	数学家		菲尔兹奖 1990；沃尔夫数学奖 2018	
	苏炜杰	Weijie Su		统计学家		考普斯会长奖 2026	
	Wendelin Werner	Wendelin Werner	1968–?	数学家		菲尔兹奖 2006	
	Whitfield Diffie	Whitfield Diffie	1944–?	计算机科学家		图灵奖 2015	
	William Kahan	William Kahan	1933–?	计算机科学家		图灵奖 1989	
	黄永康	Wing Hung Wong	1952–?	统计学家		考普斯会长奖 1993	
	孟晓犁	Xiao-Li Meng	1963–?	统计学家		考普斯会长奖 2001	
	林希虹	Xihong Lin	1966–?	统计学家		考普斯会长奖 2006	
	Yakov Eliashberg	Yakov Eliashberg	1946–?	数学家		沃尔夫数学奖 2020	
	Yann LeCun	Yann LeCun	1960–?	计算机科学家		图灵奖 2018	
	Yoshua Bengio	Yoshua Bengio	1964–?	计算机科学家		图灵奖 2018	
	Yu Deng	Yu Deng	1989–?	数学家		菲尔兹奖 2026	
	Yves Meyer	Yves Meyer		数学家		阿贝尔奖 2017	
	祖冲之	Zu Chongzhi		数学家			
	祖暅之	Zu Gengzhi		数学家			
